match_id,minute,value
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,33,47
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,34,46
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,35,14
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,36,12
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,37,37
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,38,17
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,39,14
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,40,21
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,41,24
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,42,24
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,43,69
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,44,34
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,45,-25
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,45.5,-50
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,46,-1
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,47,7
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,48,17
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,49,33
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,50,27
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,51,49
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,52,28
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,53,19
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,54,-26
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,55,-12
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,56,28
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,57,-36
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,58,-31
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,59,-40
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,60,-27
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,61,-25
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,62,-21
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,63,49
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,64,53
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,65,55
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,66,40
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,67,19
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,68,12
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,69,30
