match_id,minute,value
25-26-europa-league-salzburg-vs-aston-villa,59,-43
25-26-europa-league-salzburg-vs-aston-villa,60,-22
25-26-europa-league-salzburg-vs-aston-villa,61,36
25-26-europa-league-salzburg-vs-aston-villa,62,11
25-26-europa-league-salzburg-vs-aston-villa,63,3
25-26-europa-league-salzburg-vs-aston-villa,64,-6
25-26-europa-league-salzburg-vs-aston-villa,65,-47
25-26-europa-league-salzburg-vs-aston-villa,66,-36
25-26-europa-league-salzburg-vs-aston-villa,67,-26
25-26-europa-league-salzburg-vs-aston-villa,68,-66
25-26-europa-league-salzburg-vs-aston-villa,69,-55
25-26-europa-league-salzburg-vs-aston-villa,70,-47
25-26-europa-league-salzburg-vs-aston-villa,71,-33
25-26-europa-league-salzburg-vs-aston-villa,72,-36
25-26-europa-league-salzburg-vs-aston-villa,73,-62
25-26-europa-league-salzburg-vs-aston-villa,74,-43
25-26-europa-league-salzburg-vs-aston-villa,75,29
25-26-europa-league-salzburg-vs-aston-villa,76,-70
25-26-europa-league-salzburg-vs-aston-villa,77,-34
25-26-europa-league-salzburg-vs-aston-villa,78,-17
25-26-europa-league-salzburg-vs-aston-villa,79,-5
25-26-europa-league-salzburg-vs-aston-villa,80,-17
25-26-europa-league-salzburg-vs-aston-villa,81,-46
25-26-europa-league-salzburg-vs-aston-villa,82,-40
25-26-europa-league-salzburg-vs-aston-villa,83,-57
25-26-europa-league-salzburg-vs-aston-villa,84,-48
25-26-europa-league-salzburg-vs-aston-villa,85,30
25-26-europa-league-salzburg-vs-aston-villa,86,8
25-26-europa-league-salzburg-vs-aston-villa,87,-22
25-26-europa-league-salzburg-vs-aston-villa,88,-6
25-26-europa-league-salzburg-vs-aston-villa,89,4
25-26-europa-league-salzburg-vs-aston-villa,90,-1
25-26-europa-league-salzburg-vs-aston-villa,90.5,-14
