id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
666,a,,,9.0,8,4,0,0,0,0,25.8,10,3,0,0,0.0,685,73,0,0,0.0,680,71,0.0,0.0,0,0,0,0,0,3.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685,73,0.0,685,73,0.0,685,73,0.0,685,73,,,,0,,Viktor,Gyökeres,Gyökeres,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
32,s,0.0,,5.0,225,9,0,0,0,0,0.5,248,33,111,0,3.0,133,20,6,457,0.0,341,69,0.0,22.2,0,0,0,0,0,0.0,,0.0,0.02,0.02,44.99,0.0,0.0,0.0,1.27,839.6,21,6,20.0,325,7,0.0,587,70,86.0,155,5,,,,0,,Emiliano,Martínez Romero,Martinez,Suspended until 23 Aug,2025-07-21T10:00:04.758838+00:00,3195.0,0.0,0.0,8.0,47.0,0.0,1.0,0.0,5.0,1.0,100.0,37.0,0.0,,,,2.82,0.23,1.32,1.04,0.0
40,a,,,4.5,382,80,0,0,0,0,0.7,205,72,47,0,3.4,95,17,5,207,0.0,153,100,0.0,10.4,0,0,0,0,0,1.4,,0.88,0.23,1.11,13.2,0.07,0.02,0.09,1.06,220.4,233,84,49.2,279,102,74.0,242,81,34.6,272,95,,,,0,,Tyrone,Mings,Mings,,,1119.0,0.0,1.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,84.0,,,,0.0,0.32,0.88,0.97,6.76
1,a,,,5.5,130,4,0,0,0,0,16.3,27,4,142,0,3.7,68,11,10,555,0.0,487,80,0.0,25.8,0,0,0,0,0,4.5,,0.0,0.03,0.03,35.03,0.0,0.0,0.0,0.92,755.4,37,8,10.7,342,11,0.0,646,80,76.7,178,8,,,,0,,David,Raya Martín,Raya,,,3420.0,0.0,0.0,13.0,34.0,0.0,0.0,0.0,3.0,0.0,86.0,38.0,0.0,,,,2.26,0.34,0.89,1.0,0.0
2,a,,,4.5,375,22,0,0,0,0,1.0,183,23,106,0,3.4,94,16,7,406,0.0,146,51,0.0,23.6,0,0,0,0,0,2.8,,0.06,0.03,0.09,38.83,0.0,0.0,0.0,1.25,744.4,38,9,10.4,344,12,4.0,333,1,75.8,183,9,,,,0,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,2790.0,0.0,0.0,8.0,39.0,0.0,0.0,0.0,3.0,0.0,97.0,31.0,0.0,,,,3.13,0.26,1.26,1.0,0.0
5,a,,,6.0,99,5,0,0,0,0,18.0,25,10,117,0,4.2,32,1,9,459,0.0,591,224,0.0,19.5,0,0,0,0,0,4.5,,2.7,1.21,3.91,23.09,0.1,0.05,0.15,0.88,584.6,96,32,208.8,167,36,287.0,107,12,108.2,121,31,,,,0,,Gabriel,dos Santos Magalhães,Gabriel,,,2363.0,3.0,2.0,10.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,159.0,,,,0.0,0.38,0.84,1.07,6.06
6,a,,,6.0,105,7,0,0,0,0,13.2,33,13,130,0,3.7,70,11,14,564,0.0,597,226,0.0,21.7,0,0,0,0,0,4.5,,2.42,1.28,3.7,30.32,0.07,0.04,0.11,0.9,672.6,59,21,150.1,203,55,116.0,209,62,94.2,139,36,,,,0,,William,Saliba,Saliba,,,3039.0,2.0,0.0,12.0,29.0,0.0,0.0,0.0,2.0,1.0,0.0,35.0,216.0,,,,0.0,0.36,0.86,1.04,6.4
7,a,,,5.5,182,25,0,0,0,0,0.7,217,79,39,0,2.1,236,83,1,142,0.0,539,213,0.0,7.1,0,0,0,0,0,3.8,,0.86,0.69,1.55,10.28,0.08,0.06,0.14,0.95,252.6,222,80,118.2,221,65,176.0,167,35,54.6,230,68,,,,0,,Riccardo,Calafiori,Calafiori,,,978.0,2.0,1.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,66.0,,,,0.0,0.09,1.1,1.01,6.07
10,a,,,5.5,193,28,0,0,0,0,4.2,78,27,37,0,1.6,297,105,0,237,0.0,550,216,0.0,6.7,0,0,0,0,0,3.8,,0.16,0.51,0.67,16.65,0.01,0.03,0.04,1.1,176.0,268,99,170.7,193,49,57.0,257,90,40.0,258,85,,,,0,,Myles,Lewis-Skelly,Lewis-Skelly,,,1362.0,1.0,0.0,5.0,16.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,54.0,,,,0.0,0.33,1.06,0.99,3.57
11,a,,,5.5,140,15,0,0,0,0,0.8,202,71,50,0,2.9,142,41,0,211,0.0,497,203,0.0,9.1,0,0,0,0,0,3.8,,0.46,1.3,1.76,16.88,0.03,0.1,0.13,1.27,247.6,225,82,162.6,197,51,100.0,222,72,51.0,237,72,,,,0,,Benjamin,White,White,,,1195.0,0.0,2.0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,82.0,,,,0.0,0.38,0.98,0.98,6.18
