id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
541,a,100.0,100.0,4.5,411,83,0,0,0,0,0.3,296,110,1,0,1.0,207,70,0,5,0.5,226,75,0.1,0.2,0,1099,89,2018,300,0.5,0.5,0.08,0.08,0.16,1.8,0.08,0.08,0.16,1.8,13.8,126,58,5.3,144,43,11.0,80,24,3.0,131,50,,,,2,,Thomas,Meunier,Meunier,,,90,0,0,0,2,0,0,0,0,0,0,1,4,,,,0.0,0.0,2.0,1.0,4.0,2,2,3
542,a,,,6.0,91,57,0,0,0,0,8.2,49,19,2,0,2.0,164,84,0,13,1.0,214,105,0.2,0.3,0,12659,1273,145466,30356,1.0,1.0,0.0,0.03,0.03,1.69,0.0,0.03,0.03,1.93,4.6,218,93,9.9,124,72,0.0,598,257,1.5,211,94,1.0,2.0,2.0,2,,Enzo,Le Fée,E.Le Fée,,,79,0,0,0,1,0,0,0,0,0,0,1,2,,,,0.0,0.0,1.14,1.14,2.28,1,0,1
543,a,,,5.5,201,126,0,0,0,0,0.1,468,189,1,0,1.0,288,136,0,3,0.5,299,141,0.1,0.2,0,391,56,1343,166,0.5,0.5,0.03,0.0,0.03,0.1,0.27,0.0,0.27,0.9,0.4,275,130,0.6,247,131,2.0,179,89,0.3,279,132,,,1.0,2,,Habib,Diarra,Diarra,,,10,0,0,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,9.0,0.0,0.0,0,0,0
544,a,,,5.5,118,76,0,0,0,0,4.7,74,24,9,0,9.0,18,9,2,31,4.5,49,23,0.8,1.6,0,48297,5516,23410,5195,4.5,4.5,0.0,0.09,0.09,1.8,0.0,0.09,0.09,1.8,18.8,90,30,31.4,24,19,0.0,523,212,5.0,76,41,2.0,1.0,,2,,Granit,Xhaka,Xhaka,,,90,0,1,0,2,0,0,0,0,0,0,1,13,,,,0.0,0.0,2.0,1.0,13.0,3,2,8
545,a,,,5.0,379,226,0,0,0,0,0.3,293,98,2,0,2.0,145,70,0,18,1.0,190,86,0.2,0.4,0,1390,225,4143,646,1.0,1.0,0.06,0.03,0.09,1.8,0.06,0.03,0.09,1.8,14.6,116,38,32.1,23,18,25.0,36,20,7.2,42,24,,,,2,,Noah,Sadiki,Sadiki,,,90,0,0,0,2,0,0,0,0,0,0,1,2,,,,0.0,0.0,2.0,1.0,2.0,0,0,2
546,i,0.0,0.0,4.9,401,241,-1,1,-1,1,0.1,477,196,0,0,0.0,472,189,0,0,0.0,472,189,0.0,0.0,0,96,43,3924,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434,163,0.0,440,173,0.0,381,132,0.0,450,170,,,,2,,Simon,Adingra,Adingra,Ankle injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
547,a,,,5.0,314,186,0,0,0,0,0.0,597,254,0,0,0.0,524,216,0,0,0.0,524,216,0.0,0.0,0,50,10,170,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492,195,0.0,502,204,0.0,455,170,0.0,508,202,,,,2,,Romaine,Mundle,Mundle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
548,a,,,5.0,374,222,0,0,0,0,0.1,471,192,1,0,1.0,260,117,0,3,0.5,274,127,0.1,0.2,0,124,25,731,111,0.5,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,524,215,0.3,262,138,0.0,496,193,0.0,540,222,,,,2,,Chris,Rigg,Rigg,,,10,0,0,0,1,0,0,0,0,0,0,0,1,,,,0.0,0.0,9.0,0.0,9.0,0,0,1
549,a,,,5.5,203,128,0,0,0,0,0.2,335,120,1,0,1.0,289,137,0,1,0.5,300,142,0.1,0.2,0,332,48,3263,419,0.5,0.5,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.41,0.0,573,246,0.9,225,125,0.0,572,243,0.0,585,251,,,,2,,Chemsdine,Talbi,Talbi,,,31,0,0,0,1,0,0,0,0,0,0,0,2,,,,0.0,0.0,2.9,0.0,5.81,0,0,2
1,a,,,6.0,60,1,0,0,0,0,38.3,6,1,6,0,6.0,55,5,0,24,3.0,85,7,0.5,1.0,0,131519,24785,104320,22342,3.0,3.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,11.8,144,19,0.0,597,69,0.0,588,69,1.2,231,19,,,,2,,David,Raya Martín,Raya,,,90,0,0,1,0,0,0,0,0,0,1,1,0,,,,1.0,1.0,0.0,1.0,0.0,0,1,8
2,a,,,5.0,236,9,0,0,0,0,0.1,445,49,0,0,0.0,480,64,0,0,0.0,480,64,0.0,0.0,0,426,104,1566,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442,64,0.0,449,53,0.0,390,53,0.0,458,64,,,,2,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
273,a,,,4.0,564,58,0,0,0,0,1.5,155,23,0,0,0.0,338,30,0,0,0.0,338,30,0.0,0.0,0,4147,1032,8476,1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292,30,0.0,290,10,0.0,208,10,0.0,308,30,,,,2,,Dillon,Phillips,Phillips,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
388,a,,,6.0,68,6,0,0,0,0,19.5,16,4,12,2,6.0,56,26,2,43,6.0,25,11,1.0,2.0,0,207075,24330,70671,28913,6.0,6.0,0.89,0.36,1.25,1.31,0.44,0.18,0.62,0.66,43.6,18,6,17.5,69,22,28.0,32,7,8.9,23,4,,,,2,,Marc,Guéhi,Guéhi,,,180,1,0,0,2,0,0,0,0,0,0,2,9,,,,0.0,0.0,1.0,1.0,4.5,3,6,8
531,a,,,4.5,501,45,0,0,0,0,0.1,431,47,0,0,0.0,434,57,0,0,0.0,434,57,0.0,0.0,0,256,47,956,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,57,0.0,400,45,0.0,338,45,0.0,409,57,,,,2,,Melker,Ellborg,Ellborg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
550,a,,,5.0,397,238,0,0,0,0,0.0,604,260,0,0,0.0,558,235,0,0,0.0,558,235,0.0,0.0,0,61,10,115,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534,222,0.0,547,231,0.0,513,206,0.0,550,229,,,,2,,Djiamgone Jocelin Ta,Bi,Jocelin.T,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
551,a,,,5.0,364,214,0,0,0,0,0.1,391,152,5,0,5.0,67,27,0,23,2.5,100,45,0.5,1.0,0,5927,584,1682,303,2.5,2.5,0.15,0.01,0.16,1.66,0.23,0.02,0.25,2.58,32.8,45,20,3.3,162,94,16.0,64,34,5.2,71,38,,3.0,,2,,Nilson,Angulo,Angulo,,,58,1,0,0,1,0,0,0,1,0,0,1,7,,,,0.0,0.0,1.55,1.55,10.86,1,1,5
552,a,,,6.0,79,20,0,0,0,0,12.4,33,6,2,0,2.0,163,16,0,1,1.0,213,23,0.2,0.3,0,44565,6296,152369,32742,1.0,1.0,0.3,0.0,0.3,1.69,0.41,0.0,0.41,2.3,0.0,597,64,1.5,198,23,9.0,92,18,1.1,233,22,,,,2,,Brian,Brobbey,Brobbey,,,66,0,0,0,1,0,0,0,0,0,0,1,0,,,,0.0,0.0,1.36,1.36,0.0,0,0,0
553,a,,,5.5,164,38,0,0,0,0,0.8,208,33,1,0,1.0,280,29,0,3,0.5,291,31,0.1,0.2,0,2987,517,14846,1925,0.5,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.39,0.0,558,51,0.2,271,30,0.0,551,58,0.0,572,59,,,,2,,Wilson,Isidor,Isidor,,,23,0,0,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.91,0.0,0.0,0,0,0
612,s,0.0,0.0,4.5,541,150,0,0,0,0,0.0,620,207,0,0,0.0,465,173,0,0,0.0,465,173,0.0,0.0,0,113,18,40,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427,175,0.0,433,176,0.0,374,159,0.0,443,175,,,,2,,Dayann,Méthalie,Methalie,Suspended until 5 Sep,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
613,a,,,4.5,545,274,0,0,0,0,0.1,411,161,0,0,0.0,469,187,0,0,0.0,469,187,0.0,0.0,0,5031,2556,897,499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431,161,0.0,437,171,0.0,378,130,0.0,447,168,,,,2,,Jules,Ahoka,Ahoka,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
