player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
41,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,26.0,0.0,0.0,1.0,0.02,0.03,0.0,,,0.0,30.0,18.0,82.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,0.0,4.0,2.0,4.0,67.0,0.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,,64,90,0,0.0,0,,,,,,,
611,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,0.0,0.0,,,0.04,,,,0.0,75.0,41.0,77.0,1.0,8.0,1.0,50.0,5.0,38.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,60.0,1.0,100.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
584,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,0.0,0.0,2.0,0.05,0.15,0.0,,,4.0,50.0,30.0,88.0,1.0,4.0,0.0,0.0,2.0,100.0,0.0,1.0,2.0,0.0,1.0,,0.0,4.0,5.0,4.0,50.0,0.0,0.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,0,90,3,0.0,0,,,,,,,
188,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,1.0,0.0,5.0,0.28,0.06,2.0,,,1.0,62.0,42.0,88.0,1.0,6.0,0.0,0.0,3.0,75.0,5.0,1.0,5.0,0.0,0.0,,2.0,7.0,4.0,5.0,56.0,2.0,100.0,,2.0,,,,,,,,0.0,,,,,,,0.35,,0,90,3,0.0,0,,,,,,,
104,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,17.0,0.0,0.0,,,,,,,0.0,20.0,16.0,100.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,50.0,0.0,,1.0,1.0,,,,,,,,0.0,,,,,,,,,73,90,0,0.0,0,,,,,,,
195,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,32.0,0.0,0.0,,,,,,,1.0,5.0,1.0,33.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,1.0,50.0,0.0,0.0,,0.0,,,,,,,,1.0,,,,,,,,,57,90,1,0.0,0,,,,,,,
185,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,57.0,0.0,0.0,,,0.06,,,,1.0,22.0,12.0,86.0,1.0,2.0,,,1.0,50.0,0.0,0.0,2.0,0.0,3.0,,0.0,3.0,2.0,3.0,75.0,0.0,0.0,3.0,1.0,,,,,,,,0.0,,,,,,,,,0,57,2,0.0,0,,,,,,,
596,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,0.0,0.0,1.0,0.09,0.03,0.0,,,2.0,60.0,42.0,91.0,1.0,4.0,2.0,40.0,1.0,50.0,0.0,1.0,11.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
173,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,0.0,0.0,,,0.01,,,,3.0,77.0,50.0,78.0,0.0,15.0,,,4.0,33.0,2.0,0.0,6.0,3.0,5.0,4.0,0.0,3.0,1.0,2.0,67.0,1.0,100.0,,1.0,,,,,,,,0.0,,,,,,,,,0,90,3,0.0,0,,,,,,,
35,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,0.0,0.0,,,0.02,,,,1.0,71.0,46.0,92.0,0.0,1.0,,,1.0,100.0,3.0,1.0,5.0,0.0,7.0,3.0,1.0,11.0,4.0,6.0,60.0,5.0,100.0,3.0,2.0,,,,,,,,1.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
