id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
56,Enzo,Barrenechea,Barrenechea,u,Season-long loan to Benfica,,5.0,296,,0.0,712,,0.0,,,0,0,,0,,0,3,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
57,Lewis,Dobbin,Dobbin,u,Has joined Preston North End on loan for the rest of the season.,,5.0,281,,0.0,581,,0.0,,,0,0,,0,,0,397,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
58,Boubacar,Kamara,Kamara,d,Hamstring injury - 50% chance of playing,,4.9,339,,0.1,422,,1.0,,,0,0,,-1,,43,992,0.2,0.6,0.5,0.5,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
59,Amadou,Onana,Onana,d,Hamstring injury - 50% chance of playing,,5.0,279,,1.5,152,,2.0,,,0,0,,0,,165,16488,0.4,1.2,1.0,1.0,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7346,44500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
60,Ben,Broggio,Broggio,a,,,4.5,517,,0.3,302,,0.0,,,0,0,,0,,740,985,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199,3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
61,Leander,Dendoncker,Dendoncker,u,Has joined Real Oviedo permanently.,,4.5,387,,0.2,355,,0.0,,,0,0,,0,,0,1310,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,a,,,4.5,502,,0.1,555,,0.0,,,0,0,,0,,115,152,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
63,Kadan,Young,Young,a,,,4.5,489,,0.6,223,,0.0,,,0,0,,0,,830,2024,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,8885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
64,Ollie,Watkins,Watkins,a,,,8.9,8,,19.4,21,,2.0,,,2,0,,-1,,8537,91912,0.2,0.7,2.0,2.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,3,0,0,0,0,0,0,1,0,4,54780,416519,0.0,0.6399999999999999,0.04000000000000001,0.68,2.6699999999999995,3.799999999999999,11.8,43.0,5.899999999999999,1,0,0,1
65,Zépiqueno,Redmond,Redmond,a,has joined Huddersfield Town on loan for the rest of the season.,,4.5,514,,0.8,199,,0.0,,,0,0,,0,,1010,2875,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207,13313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
389,Harvey,Elliott,Elliott,a,,,5.4,197,,0.1,442,,0.3,,,0,0,,-1,,139,578,0.1,0.2,1.8,0.8,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
456,Jadon,Sancho,Sancho,a,,,5.9,103,,0.1,473,,0.0,,,0,0,,-1,,126,557,0.0,0.0,-0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,1634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
677,Evann,Guessand,Guessand,a,,,6.4,72,,0.0,569,,0.7,,,1,0,,-1,,158,230,0.1,0.3,0.7,0.7,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,45,0,0,0,1,0,0,0,0,0,0,1,0,3,356,1086,0.0,0.07,0.0,0.07,1.72,4.199999999999999,2.2,17.0,2.3,1,0,3,4
688,James,Wright,Wright,a,,,4.0,651,,0.5,240,,0.0,,,0,0,,0,,689,811,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533,3478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
701,Triston,Rowe,Rowe,a,has joined Annecy on loan for the rest of the season.,,4.0,692,,0.1,462,,0.0,,,0,0,,0,,809,407,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
702,Bradley,Burrowes,Burrowes,a,,,4.5,541,,0.1,523,,0.5,,,1,0,,0,,653,365,0.1,0.2,0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,16,0,0,0,1,0,0,0,0,0,0,0,0,3,1685,779,0.0,0.0,0.0,0.0,0.9,0.0,0.3,0.0,0.0,0,0,1,1
703,Sam,Proctor,Proctor,a,,,4.0,690,,0.2,334,,0.0,,,0,0,,0,,2572,551,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8282,1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
710,Travis,Patterson,Patterson,a,,,4.0,676,,0.0,681,,0.0,,,0,0,,0,,519,44,0.0,0.0,1.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
719,Victor,Lindelöf,Lindelöf,a,,,4.5,403,,0.0,598,,0.0,,,0,0,,0,,190,184,0.0,0.7,0.0,0.0,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
183,Max,Weiß,Weiss,a,,,4.5,476,,0.2,408,,0.0,,,0,0,,0,,83,331,0.0,0.0,-1.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,1580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
184,Etienne,Green,Green,a,has joined FC Fredericia permanently.,,4.0,654,,0.4,267,,0.0,,,0,0,,0,,284,504,0.0,0.0,-1.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
185,Václav,Hladký,Hladký,a,,,4.0,580,,0.2,364,,0.0,,,0,0,,0,,103,294,0.0,0.0,-1.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,1310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
186,Connor,Roberts,Roberts,i,Knock - Expected back 14 Sep,,4.5,395,,0.1,547,,0.0,,,0,0,,0,,18,301,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
187,Kyle,Walker,Walker,a,,,4.5,371,,1.9,130,,2.3,,,0,0,,0,,1928,6510,0.5,1.6,0.8,1.8,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,90,0,0,0,3,0,0,0,1,0,0,1,0,-1,10438,18532,0.0,0.0,0.1,0.09999999999999999,3.63,15.399999999999999,4.3,0.0,2.0,3,4,3,10
188,Hannes,Delcroix,Delcroix,a,,,4.0,622,,0.3,318,,0.0,,,0,0,,0,,202,675,0.0,0.0,-1.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
