id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
61,u,0.0,0.0,4.5,388,232,0,0,0,0,0.2,335,113,0,0,0.0,478,174,0,0,0.0,478,174,0.0,0.0,0,2169,0,14605,6807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468,164,0.0,460,170,0.0,420,152,0.0,476,167,,,,3,,Leander,Dendoncker,Dendoncker,Has joined Real Oviedo permanently.,2025-08-20T13:31:56.822248+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
62,a,,,4.5,519,289,0,0,0,0,0.1,561,219,0,0,0.0,559,225,0,0,0.0,559,225,0.0,0.0,0,815,334,1341,563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551,215,0.0,546,221,0.0,515,205,0.0,557,218,,,,3,,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
63,a,,,4.5,505,279,0,0,0,0,0.7,219,71,0,0,0.0,547,216,0,0,0.0,547,216,0.0,0.0,0,9625,2989,17896,7657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539,206,0.0,534,212,0.0,503,196,0.0,545,209,,,,3,,Kadan,Young,Young,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
64,a,,,9.0,7,3,0,0,0,0,21.9,17,6,4,2,2.0,206,16,0,18,2.0,194,16,0.2,0.4,0,182805,39800,604303,321699,2.0,2.0,0.49,0.09,0.58,2.64,0.24,0.04,0.28,1.32,12.4,208,16,26.3,76,6,49.0,24,10,8.8,69,12,,,3.0,3,,Ollie,Watkins,Watkins,,,180,0,0,1,1,0,0,0,0,0,0,2,9,,,,0.0,0.5,0.5,1.0,4.5
65,a,,,4.5,531,69,0,0,0,0,0.8,194,31,0,0,0.0,570,48,0,0,0.0,570,48,0.0,0.0,0,14514,3689,23539,11208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563,47,0.0,558,47,0.0,526,46,0.0,568,48,,,,3,,Zépiqueno,Redmond,Redmond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
677,a,,,6.5,63,45,0,0,0,0,0.1,563,221,1,1,1.0,320,165,0,1,0.5,333,167,0.1,0.2,0,654,249,2883,874,0.5,0.5,0.0,0.01,0.01,0.11,0.0,0.06,0.06,0.66,2.4,301,148,1.0,285,152,2.0,261,147,0.5,322,162,,,,3,,Evann,Guessand,Guessand,,,15,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,12.0
688,a,,,4.0,647,68,0,0,0,0,0.5,242,34,0,0,0.0,400,53,0,0,0.0,400,53,0.0,0.0,0,16338,3721,4961,3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392,53,0.0,383,37,0.0,336,33,0.0,402,53,,,,3,,James,Wright,Wright,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
701,a,,,4.0,687,216,0,0,0,0,0.1,486,184,0,0,0.0,437,165,0,0,0.0,437,165,0.0,0.0,0,4798,4798,685,685,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429,170,0.0,419,169,0.0,373,145,0.0,438,173,,,,3,,Triston,Rowe,Rowe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
702,a,,,4.5,560,315,0,0,0,0,0.1,557,215,0,0,0.0,591,246,0,0,0.0,591,246,0.0,0.0,0,2627,2627,631,631,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586,238,0.0,581,244,0.0,549,228,0.0,591,241,,,,3,,Bradley,Burrowes,Burrowes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
703,a,,,4.0,685,79,0,0,0,0,0.1,431,64,0,0,0.0,435,64,0,0,0.0,435,64,0.0,0.0,0,5502,5502,530,530,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427,64,0.0,417,48,0.0,371,44,0.0,436,64,,,,3,,Sam,Proctor,Proctor,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
183,a,,,4.5,491,33,0,0,0,0,0.2,404,58,0,0,0.0,535,78,0,0,0.0,535,78,0.0,0.0,0,978,299,3378,1227,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527,78,0.0,522,68,0.0,491,66,0.0,533,78,,,,3,,Max,Weiß,Weiss,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
184,a,,,4.0,650,71,0,0,0,0,0.4,265,37,0,0,0.0,403,56,0,0,0.0,403,56,0.0,0.0,0,3712,1177,4693,2088,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395,56,0.0,386,40,0.0,339,36,0.0,405,56,,,,3,,Etienne,Green,Green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
185,a,,,4.0,576,37,0,0,0,0,0.2,365,55,0,0,0.0,341,23,0,0,0.0,341,23,0.0,0.0,0,1124,323,2474,1005,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,23,0.0,321,6,0.0,270,2,0.0,342,23,,,,3,,Václav,Hladký,Hladký,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
186,i,0.0,0.0,4.5,397,85,0,0,0,0,0.1,527,198,0,0,0.0,482,196,0,0,0.0,482,196,0.0,0.0,0,466,25,3404,1688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473,200,0.0,464,199,0.0,425,181,0.0,480,201,,,,3,,Connor,Roberts,Roberts,Knock - Expected back 14 Sep,2025-08-22T12:30:06.986449+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
187,a,,,4.5,369,66,0,0,0,0,1.9,130,50,7,6,3.5,103,45,0,23,3.5,95,44,0.8,1.6,0,26211,9361,31650,11537,3.0,3.5,0.01,0.04,0.05,3.09,0.0,0.02,0.02,1.54,23.6,145,64,3.0,232,70,1.0,263,83,2.8,237,81,,,,3,,Kyle,Walker,Walker,,,180,0,0,1,3,0,0,0,0,0,0,2,12,,,,0.0,0.5,1.5,1.0,6.0
188,a,,,4.0,618,170,0,0,0,0,0.3,316,117,0,0,0.0,377,128,0,0,0.0,377,128,0.0,0.0,0,1858,686,5910,2519,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369,133,0.0,360,133,0.0,310,105,0.0,379,137,,,,3,,Hannes,Delcroix,Delcroix,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
189,u,0.0,0.0,4.0,633,181,0,0,0,0,0.0,634,216,0,0,0.0,390,137,0,0,0.0,390,137,0.0,0.0,0,0,0,1175,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382,142,0.0,373,142,0.0,324,115,0.0,392,146,,,,3,,Owen,Dodgson,Dodgson,Has joined Stockport County on loan for the rest of the season.,2025-08-11T01:08:30.737822+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
190,a,,,4.0,646,188,0,0,0,0,0.7,213,80,10,9,5.0,59,23,1,29,5.0,53,21,1.2,2.5,0,48027,42941,9348,6696,4.5,5.0,0.0,0.01,0.01,3.09,0.0,0.0,0.0,1.54,41.6,65,23,14.8,130,37,12.0,126,20,6.8,99,26,,,,3,,Hjalmar,Ekdal,Ekdal,,,180,0,0,1,3,0,0,0,0,0,0,2,19,,,,0.0,0.5,1.5,1.0,9.5
191,a,,,4.0,645,187,0,0,0,0,18.9,23,7,7,6,3.5,100,42,0,29,3.5,92,41,0.9,1.8,0,147591,58560,147026,61476,3.0,3.5,0.05,0.01,0.06,2.98,0.03,0.01,0.04,1.56,40.4,71,27,1.6,259,84,17.0,99,13,5.9,114,33,,,,3,,Maxime,Estève,Estève,,,172,0,0,1,3,0,0,0,0,0,0,2,15,,,,0.0,0.52,1.57,1.05,7.85
5,a,,,6.1,80,2,1,-1,1,-1,20.7,21,5,12,6,6.0,46,15,0,49,6.0,40,13,1.0,2.0,0,428115,92578,180276,99678,5.5,7.0,0.04,0.01,0.05,1.69,0.02,0.0,0.02,0.84,36.2,91,39,3.6,220,66,10.0,150,32,5.0,150,47,,,,3,,Gabriel,dos Santos Magalhães,Gabriel,,,180,0,0,2,0,0,0,0,0,0,0,2,10,,,,0.0,1.0,0.0,1.0,5.0
192,a,,,4.0,656,193,0,0,0,0,0.5,239,87,7,6,3.5,101,43,0,24,3.5,93,42,0.9,1.8,0,11863,4336,8206,3369,3.0,3.5,0.0,0.08,0.08,3.09,0.0,0.04,0.04,1.54,33.2,105,44,19.0,99,24,4.0,206,58,5.6,124,37,2.0,,,3,,Quilindschy,Hartman,Hartman,,,180,0,0,1,3,0,0,0,0,0,0,2,14,,,,0.0,0.5,1.5,1.0,7.0
193,d,75.0,75.0,4.0,630,179,0,0,0,0,0.0,583,210,0,0,0.0,387,135,0,0,0.0,387,135,0.0,0.0,0,171,49,1502,431,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379,140,0.0,370,140,0.0,321,113,0.0,389,144,,,,3,,Bashir,Humphreys,Humphreys,Lack of match fitness - 75% chance of playing,2025-08-10T22:00:04.55738+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
194,i,0.0,0.0,4.0,616,168,0,0,0,0,0.1,435,165,0,0,0.0,376,127,0,0,0.0,376,127,0.0,0.0,0,604,36,5168,2798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,132,0.0,359,132,0.0,309,104,0.0,378,136,,,,3,,Jordan,Beyer,Jordan,Knee injury - Expected back 14 Sep,2025-08-22T12:30:07.019474+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
195,a,,,4.0,679,212,0,0,0,0,0.1,428,163,0,0,0.0,429,161,0,0,0.0,429,161,0.0,0.0,0,588,275,3027,1188,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,166,0.0,411,165,0.0,365,141,0.0,430,169,,,,3,,Lucas,Pires Silva,Lucas Pires,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
196,u,0.0,0.0,4.0,629,178,0,0,0,0,0.1,500,189,0,0,0.0,386,134,0,0,0.0,386,134,0.0,0.0,0,202,0,4150,1666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,139,0.0,369,139,0.0,320,112,0.0,388,143,,,,3,,Shurandy,Sambo,Sambo,Has joined Sparta Rotterdam on loan for the rest of the season.,2025-08-19T13:36:42.853472+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
197,a,,,4.0,671,205,0,0,0,0,0.2,422,162,2,1,1.0,240,81,0,-3,1.0,231,76,0.2,0.5,0,2032,458,2424,957,0.5,1.0,0.03,0.08,0.11,2.25,0.03,0.08,0.11,2.15,4.6,273,101,16.4,111,29,6.0,182,48,2.7,246,87,,,,3,,Oliver,Sonne,Sonne,,,94,0,0,0,3,0,0,0,0,0,0,1,0,,,,0.0,0.0,2.87,0.96,0.0
198,d,75.0,75.0,4.0,600,157,0,0,0,0,1.9,131,51,0,0,0.0,363,119,0,0,0.0,363,119,0.0,0.0,0,3454,174,48193,23757,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,124,0.0,345,123,0.0,294,94,0.0,365,128,,,,3,,Axel,Tuanzebe,Tuanzebe,Lack of match fitness - 75% chance of playing,2025-08-22T12:30:07.036752+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
199,a,,,4.0,603,160,0,0,0,0,0.1,450,168,1,1,1.0,236,77,0,6,0.5,277,87,0.1,0.2,0,657,299,2389,817,0.0,0.5,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1.41,6.0,255,94,0.0,347,125,0.0,296,96,0.6,308,103,,,,3,,Joe,Worrall,Worrall,,,7,0,0,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,38.57
200,a,,,5.5,163,101,0,0,0,0,0.3,308,100,15,13,7.5,18,8,2,48,7.5,16,7,1.4,2.7,1,16937,14365,5272,3233,7.0,7.5,1.21,0.38,1.59,3.09,0.63,0.2,0.83,1.6,65.4,20,9,40.8,41,35,60.0,13,6,16.6,11,7,3.0,1.0,,3,,Jaidon,Anthony,Anthony,,,174,1,1,1,3,0,0,0,0,0,0,2,15,,,,0.0,0.52,1.55,1.03,7.76
201,a,,,5.5,137,86,0,0,0,0,0.0,635,271,0,0,0.0,676,297,0,0,0.0,676,297,0.0,0.0,0,292,173,810,294,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673,293,0.0,677,296,0.0,665,290,0.0,677,296,,,,3,,Manuel,Benson Hedilazio,Benson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
202,a,,,5.5,135,84,0,0,0,0,0.0,600,244,4,3,2.0,186,91,0,8,2.0,174,84,0.4,0.7,0,404,135,1233,354,1.5,2.0,0.02,0.02,0.04,1.52,0.02,0.02,0.04,1.44,3.6,291,143,2.5,237,139,12.0,129,79,1.6,273,138,,,2.0,3,,Jacob,Bruun Larsen,Bruun Larsen,,,95,0,0,1,1,0,0,0,0,0,0,1,6,,,,0.0,0.95,0.95,0.95,5.68
203,a,,,5.0,330,211,0,0,0,0,0.1,565,222,0,0,0.0,652,285,0,0,0.0,652,285,0.0,0.0,0,363,118,1648,659,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,280,0.0,648,284,0.0,629,274,0.0,652,283,,,,3,,Enock,Agyei,Boateng,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
13,a,,,4.0,684,215,0,0,0,0,0.6,236,86,0,0,0.0,434,164,0,0,0.0,434,164,0.0,0.0,0,8896,2654,14821,6603,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426,169,0.0,416,168,0.0,370,144,0.0,435,172,,,,3,,Brayden,Clarke,Clarke,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
204,a,,,5.0,280,177,0,0,0,0,0.0,632,269,0,0,0.0,631,270,0,0,0.0,631,270,0.0,0.0,0,93,43,655,229,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628,265,0.0,627,269,0.0,604,257,0.0,632,268,,,,3,,Darko,Churlinov,Churlinov,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
205,a,,,5.0,241,153,0,0,0,0,1.1,183,60,18,14,9.0,8,3,3,70,9.0,6,2,1.8,3.6,1,92454,88800,11993,10868,8.5,9.0,0.08,0.47,0.55,3.09,0.04,0.24,0.28,1.54,89.6,4,1,76.4,6,6,21.0,72,41,18.7,8,5,1.0,,,3,,Josh,Cullen,Cullen,,,180,1,1,1,3,0,0,0,0,0,0,2,19,,,,0.0,0.5,1.5,1.0,9.5
206,a,,,4.9,344,220,-1,1,-1,1,0.1,516,183,1,0,1.0,263,124,0,3,0.5,296,144,0.1,0.2,0,560,237,2886,1277,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593,242,0.0,588,248,0.0,556,232,0.0,598,245,4.0,,,3,,Marcus,Edwards,Edwards,,,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
207,a,,,5.0,295,184,0,0,0,0,0.2,415,141,7,5,3.5,109,42,0,19,3.5,102,36,0.7,1.4,0,2576,1616,3157,1172,3.0,3.5,0.05,0.13,0.18,2.07,0.03,0.08,0.11,1.29,9.2,231,105,20.2,94,64,9.0,156,93,3.8,182,91,,3.0,,3,,Hannibal,Mejbri,Hannibal,,,144,0,0,1,2,0,0,0,0,0,0,2,14,,,,0.0,0.62,1.25,1.25,8.75
208,u,0.0,0.0,5.0,307,192,0,0,0,0,0.0,630,267,0,0,0.0,641,277,0,0,0.0,641,277,0.0,0.0,0,68,0,1538,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638,272,0.0,638,276,0.0,618,265,0.0,642,275,,,,3,,Luca,Koleosho,Koleosho,Has joined Espanyol on loan for the rest of the season.,2025-08-22T14:15:37.649817+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
209,a,,,5.0,238,152,0,0,0,0,0.0,622,260,3,1,1.5,217,110,0,15,1.5,206,103,0.3,0.6,0,259,35,711,286,1.0,1.5,0.11,0.13,0.24,1.57,0.12,0.14,0.26,1.7,21.4,157,61,12.0,151,97,20.0,82,49,5.4,135,70,,,,3,,Josh,Laurent,Laurent,,,83,0,0,0,2,0,0,0,0,0,0,1,10,,,,0.0,0.0,2.17,1.08,10.84
210,a,,,5.0,300,188,0,0,0,0,0.0,628,265,2,1,1.0,276,133,0,7,1.0,252,124,0.2,0.4,0,110,57,616,211,0.5,1.0,0.08,0.04,0.12,0.34,0.31,0.16,0.47,1.33,3.6,288,141,5.4,204,122,3.0,228,129,1.2,288,145,,,,3,,Loum,Tchaouna,Tchaouna,,,23,0,0,0,0,0,0,0,0,0,0,0,4,,,,0.0,0.0,0.0,0.0,15.65
212,u,0.0,0.0,4.5,530,295,0,0,0,0,0.0,651,281,0,0,0.0,569,231,0,0,0.0,569,231,0.0,0.0,0,0,0,1447,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562,221,0.0,557,227,0.0,525,211,0.0,567,224,,,,3,,Oluwaseun,Adewumi,Adewumi,Has joined Cercle Brugge on loan for the rest of the season.,2025-08-15T12:03:26.649417+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
214,a,,,4.5,435,241,0,0,0,0,0.1,530,191,0,0,0.0,499,181,0,0,0.0,499,181,0.0,0.0,0,655,230,1799,741,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490,171,0.0,483,177,0.0,449,161,0.0,497,174,,,,3,,Mike,Trésor Ndayishimiye,Trésor,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
215,a,,,5.5,153,35,0,0,0,0,0.1,425,59,2,1,1.0,298,27,0,6,1.0,261,25,0.2,0.4,0,2715,836,5575,2393,0.5,1.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,1.53,2.2,306,24,10.0,177,16,2.0,255,32,1.4,282,28,,2.0,,3,,Zian,Flemming,Flemming,,,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
216,i,0.0,0.0,4.9,359,54,-1,1,-1,1,0.0,601,71,0,0,0.0,611,56,0,0,0.0,611,56,0.0,0.0,0,174,34,2658,696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607,55,0.0,601,55,0.0,570,54,0.0,611,56,,,,3,,Zeki,Amdouni,Amdouni,Knee injury - Unknown return date,2025-08-10T22:00:04.567659+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
217,a,,,5.0,285,48,0,0,0,0,0.6,235,40,4,2,2.0,179,13,0,13,2.0,168,13,0.4,0.8,0,30707,8114,18456,8330,1.5,2.0,0.22,0.05,0.27,2.75,0.13,0.03,0.16,1.57,6.6,250,19,26.3,75,5,14.0,118,26,4.7,159,21,,,,3,,Lyle,Foster,Foster,,,158,0,0,1,3,0,0,0,0,0,0,2,8,,,,0.0,0.57,1.71,1.14,4.56
