id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
325,a,,,4.0,644,47,0,0,-5,5,1.1,201,27,37,0,4.6,24,1,1,127,0.0,400,46,0.0,9.2,1,733250,3498,701056,2039,1.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,1.21,196.8,267,25,0.0,562,43,0.0,524,27,19.7,367,26,,,,29,
256,u,0.0,0.0,5.0,228,50,0,0,0,0,0.0,592,76,1,0,1.0,497,53,0,2,0.0,721,64,0.0,0.2,0,4673,0,12096,5,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,60.3,0.0,773,80,0.0,772,80,0.0,766,80,0.0,773,80,,,,29,
259,d,50.0,0.0,5.2,164,100,0,0,-3,3,0.2,353,111,63,0,3.3,107,48,6,242,0.0,735,310,0.0,12.1,1,185640,17,190544,521,-0.2,0.0,3.29,0.94,4.23,11.69,0.36,0.1,0.46,1.27,252.4,221,96,259.1,127,90,298.0,88,57,80.1,142,81,3.0,3.0,,29,
579,a,100.0,100.0,4.1,624,159,0,0,-4,4,0.2,373,135,20,7,2.9,145,41,0,47,4.0,77,24,1.0,4.9,0,19076,3164,21711,741,3.5,4.0,0.54,0.35,0.89,2.55,0.53,0.34,0.87,2.49,86.4,377,132,26.4,388,134,57.0,285,86,16.9,378,127,,,,29,
260,u,0.0,0.0,4.7,337,62,0,0,-3,3,0.2,348,55,8,0,0.7,526,59,0,15,0.0,667,53,0.0,1.7,0,61694,0,86573,242,0.0,0.0,0.35,0.04,0.39,3.84,0.25,0.03,0.28,2.76,5.6,499,48,25.7,390,44,32.0,344,44,6.0,450,45,,,2.0,29,
265,d,50.0,25.0,5.1,180,108,0,0,-4,4,0.1,506,185,33,0,2.2,257,110,0,115,0.0,729,305,0.0,6.5,0,7776,5,27111,45,-0.2,-0.1,1.18,0.54,1.72,14.6,0.18,0.08,0.26,2.17,95.6,367,168,120.4,236,149,86.0,249,139,29.7,317,161,,,,29,
268,a,100.0,100.0,5.6,104,27,0,0,1,-1,3.4,102,18,108,2,3.9,61,16,17,376,2.0,177,17,0.4,19.3,1,1583720,5354,1293509,20050,1.5,1.5,8.32,1.32,9.64,45.0,0.34,0.05,0.39,1.86,428.4,117,15,265.2,125,11,654.0,24,11,133.9,54,13,,,,29,
269,u,0.0,0.0,4.0,647,173,0,0,0,0,0.1,536,185,1,0,1.0,442,151,0,3,0.0,403,135,0.0,0.2,0,2076,0,15086,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583,200,0.0,565,199,0.0,527,185,0.0,582,200,,,,29,
270,a,100.0,100.0,3.9,752,248,0,0,-1,1,4.1,85,28,32,0,1.7,330,107,0,144,0.5,296,88,0.1,8.2,0,1003933,1696,634314,14387,0.0,0.0,1.24,0.15,1.39,36.34,0.07,0.01,0.08,1.96,442.4,109,43,39.7,348,112,135.0,188,41,61.8,197,60,,,,29,
278,a,100.0,100.0,4.8,287,185,0,0,-2,2,0.1,434,149,51,0,2.1,266,115,5,302,0.0,672,268,0.0,10.6,0,45933,189,57986,293,-0.5,-0.5,0.31,1.03,1.34,42.62,0.01,0.05,0.06,1.94,309.2,183,77,251.1,130,91,26.0,361,194,58.5,210,109,,,,29,
