id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
351,a,,,5.5,183,118,0,0,0,0,1.1,179,62,0,0,0.0,645,289,0,0,0.0,529,208,0.0,0.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645,289,0.0,645,289,0.0,643,287,0.0,645,289,,,,0,
352,a,,,5.5,146,97,0,0,0,0,0.3,398,121,81,0,2.4,198,86,4,291,0.0,492,187,0.0,14.7,0,0,0,0,0,1.5,,3.54,3.12,6.66,31.23,0.15,0.14,0.29,1.36,277.0,211,102,527.7,64,51,288.0,106,73,108.6,120,73,,,,0,
353,a,,,5.5,134,89,0,0,0,0,1.3,162,56,0,0,0.0,634,281,0,0,0.0,480,179,0.0,0.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634,281,0.0,634,281,0.0,631,278,0.0,634,281,,,,0,
354,a,,,5.0,237,151,0,0,0,0,0.2,443,141,0,0,0.0,596,251,0,0,0.0,352,97,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595,250,0.0,593,250,0.0,582,245,0.0,595,250,,,,0,
356,a,,,5.0,305,191,0,0,0,0,0.1,530,193,0,0,0.0,615,265,0,0,0.0,420,137,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,265,0.0,614,265,0.0,607,262,0.0,615,265,,,,0,
357,a,,,5.0,281,177,0,0,0,0,0.2,465,153,0,0,0.0,606,258,0,0,0.0,396,123,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606,258,0.0,603,257,0.0,595,253,0.0,606,258,,,,0,
358,a,,,5.0,272,172,0,0,0,0,0.7,219,71,0,0,0.0,601,255,0,0,0.0,387,118,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,254,0.0,598,254,0.0,589,249,0.0,600,254,,,,0,
359,a,,,4.5,481,264,0,0,0,0,0.1,560,216,0,0,0.0,550,223,0,0,0.0,264,45,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548,222,0.0,544,222,0.0,527,215,0.0,548,222,,,,0,
362,a,,,5.5,153,29,0,0,0,0,3.0,105,20,0,0,0.0,636,62,0,0,0.0,499,35,0.0,0.0,0,0,0,0,0,1.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636,62,0.0,636,62,0.0,633,62,0.0,636,62,,,,0,
365,a,,,5.0,232,39,0,0,0,0,1.3,165,30,0,0,0.0,595,55,0,0,0.0,347,23,0.0,0.0,0,0,0,0,0,0.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594,55,0.0,591,55,0.0,580,55,0.0,594,55,,,,0,
