player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
22,25-26-friendly-newcastle-united-vs-arsenal,69,1,0,1,0.0,0.0,1,0,0,2,32,13,68.0,1.0,2,1,100.0,1,100.0,2,0,0,0,1,1,1,3,5,3,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0.0,67.0,0.0,,3.0,0.0,69.0,2.0,0.0,0.0
30,25-26-friendly-newcastle-united-vs-arsenal,60,0,1,1,0.0,0.0,0,0,0,5,17,10,77.0,2.0,0,0,0.0,0,0.0,0,0,4,0,0,0,0,0,3,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2,0.0,0.0,0.0,,0.0,0.0,60.0,2.0,0.0,0.0
482,25-26-friendly-newcastle-united-vs-arsenal,20,0,0,1,0.0,0.0,1,3,0,1,28,14,88.0,1.0,1,0,0.0,1,50.0,2,0,2,0,2,0,0,7,0,7,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,100.0,50.0,0.0,,4.0,70.0,90.0,1.0,0.0,0.0
16,25-26-friendly-newcastle-united-vs-arsenal,60,0,0,3,0.0,0.0,1,2,0,6,30,7,58.0,1.0,2,2,40.0,0,0.0,1,1,5,0,0,0,0,3,5,3,43.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,33.0,100.0,0.0,,1.0,0.0,60.0,2.0,0.0,0.0
478,25-26-friendly-newcastle-united-vs-tottenham-hotspur,77,0,0,0,0.0,0.0,0,0,0,0,63,42,89.0,0.0,3,1,17.0,2,100.0,0,0,4,0,0,0,0,2,2,0,0.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,78.0,1.0,0.0,0.0
579,25-26-friendly-newcastle-united-vs-tottenham-hotspur,65,0,0,1,0.0,0.0,0,1,0,6,29,16,94.0,0.0,1,0,0.0,0,0.0,1,0,6,0,0,0,1,3,5,3,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2,50.0,100.0,0.0,,1.0,0.0,65.0,1.0,0.0,0.0
489,25-26-friendly-newcastle-united-vs-tottenham-hotspur,77,0,0,3,0.0,0.0,1,1,0,4,47,25,78.0,1.0,5,1,20.0,1,50.0,0,0,1,0,1,0,0,1,2,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,1,50.0,0.0,0.0,,0.0,0.0,77.0,1.0,0.0,0.0
567,25-26-friendly-newcastle-united-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,48,19,48.0,0.0,11,0,0.0,7,25.0,0,0,7,0,2,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.0,0.0,1,19,7,0.0,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,90.0,1.0,0.0,0.0
585,25-26-friendly-newcastle-united-vs-tottenham-hotspur,45,0,0,1,0.0,0.0,0,0,0,1,24,18,95.0,0.0,1,0,0.0,1,50.0,1,0,1,0,2,2,0,2,1,1,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,100.0,0.0,,1.0,0.0,46.0,1.0,0.0,0.0
586,25-26-friendly-newcastle-united-vs-tottenham-hotspur,45,0,0,1,0.0,0.0,1,0,0,0,18,7,88.0,0.0,0,1,50.0,1,50.0,2,1,4,0,0,0,0,2,3,2,40.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2.0,0,0,0,0,0.0,100.0,0.0,,2.0,46.0,90.0,0.0,0.0,0.0
