id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
423,a,100.0,100.0,5.9,98,63.0,0,0.0,-1,1.0,0.1,474,164.0,55,0,2.6,260.0,110.0,1,289,0.0,796.0,354.0,0.0,9.3,0.0,27528,218,30561,333,0.5,0.5,0.56,1.0,1.56,16.77,0.04,0.07,0.11,1.1,278.6,189.0,75.0,185.6,156.0,108.0,64.0,284.0,153.0,52.8,217.0,108.0,,,,26,,Nico,González Iglesias,N.Gonzalez,,,1370,1,0,7,14,0,0,0,6,0,0,15,182,,,,0.0,0.46,0.92,0.99,11.96,36,67,79
425,u,0.0,0.0,5.4,184,114.0,0,0.0,-1,1.0,0.0,741,313.0,0,0,0.0,802.0,356.0,0,0,0.0,783.0,344.0,0.0,0.0,0.0,194,0,3227,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0,356.0,0.0,801.0,356.0,0.0,799.0,355.0,0.0,802.0,356.0,,,,26,,Claudio,Echeverri,Echeverri,has joined Girona on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
428,a,100.0,100.0,5.0,278,172.0,0,0.0,0,0.0,0.0,719,300.0,0,0,0.0,788.0,346.0,0,0,0.0,751.0,321.0,0.0,0.0,0.0,188,21,2529,31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,345.0,0.0,786.0,346.0,0.0,782.0,344.0,0.0,788.0,346.0,,,,26,,Sverre,Nypan,Nypan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
429,u,0.0,0.0,4.7,379,237.0,0,0.0,-3,3.0,0.1,557,203.0,0,0,0.0,754.0,322.0,0,0,0.0,689.0,277.0,0.0,0.0,0.0,4052,0,8307,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,321.0,0.0,749.0,322.0,0.0,738.0,319.0,0.0,754.0,322.0,,,,26,,Kalvin,Phillips,Phillips,has joined Sheffield United on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
739,u,0.0,0.0,4.4,565,339.0,0,0.0,-1,1.0,0.0,679,277.0,2,0,1.0,469.0,209.0,0,5,0.0,597.0,209.0,0.0,0.5,0.0,3500,0,3134,88,0.0,0.0,0.0,0.21,0.21,0.34,0.0,0.76,0.76,1.22,4.2,472.0,216.0,28.3,372.0,191.0,4.0,426.0,210.0,3.7,450.0,203.0,,,,26,,Divine,Mukasa,Mukasa,has joined Leicester City on loan for the rest of the season.,,25,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,3.6,0,0,1
740,u,0.0,0.0,3.9,776,227.0,0,0.0,-1,1.0,0.0,617,219.0,0,0,0.0,565.0,205.0,0,0,0.0,444.0,174.0,0.0,0.0,0.0,3208,0,3724,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,205.0,0.0,545.0,205.0,0.0,510.0,197.0,0.0,558.0,205.0,,,,26,,Stephen,Mfuni,Mfuni,has joined Watford on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
763,a,,,4.5,457,274.0,0,0.0,0,0.0,0.0,784,343.0,0,0,0.0,712.0,289.0,0,0,0.0,635.0,235.0,0.0,0.0,0.0,370,22,253,30,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,284.0,0.0,704.0,287.0,0.0,687.0,280.0,0.0,709.0,286.0,,,,26,,Charlie,Gray,Gray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
764,a,,,4.5,485,296.0,0,0.0,0,0.0,0.0,797,352.0,0,0,0.0,730.0,302.0,0,0,0.0,659.0,254.0,0.0,0.0,0.0,197,19,138,15,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,300.0,0.0,723.0,301.0,0.0,709.0,297.0,0.0,729.0,301.0,,,,26,,Reigan,Heskey,Heskey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
794,d,75.0,,4.1,655,159.0,-1,1.0,-4,4.0,0.0,735,254.0,5,0,2.5,265.0,103.0,0,27,0.0,520.0,221.0,0.0,1.2,0.0,5114,67,4245,301,0.4,0.5,0.26,0.06,0.32,1.54,0.17,0.04,0.21,1.03,34.0,418.0,157.0,14.8,397.0,144.0,26.0,356.0,118.0,7.5,425.0,152.0,,,,26,,Max,Alleyne,Alleyne,Knock - 75% chance of playing,,135,0,0,0,1,0,0,0,0,0,0,2,11,,,,0.0,0.0,0.67,1.33,7.33,3,8,4
119,a,100.0,100.0,8.6,10,5.0,0,0.0,6,-6.0,22.7,17,5.0,109,6,5.2,12.0,8.0,15,401,6.5,12.0,7.0,0.8,12.7,0.0,6746163,145041,5684100,91220,7.0,7.0,7.11,3.78,10.89,25.36,0.35,0.19,0.54,1.26,498.8,54.0,15.0,578.8,13.0,13.0,674.0,5.0,2.0,175.2,7.0,5.0,2.0,2.0,,26,,Bryan,Mbeumo,Mbeumo,,,1809,9,2,4,29,0,0,0,3,0,0,21,96,,,,0.0,0.2,1.44,1.04,4.78,16,12,68
432,u,0.0,0.0,4.9,302,11.0,0,0.0,-1,1.0,0.1,422,63.0,0,0,0.0,764.0,93.0,0,0,0.0,712.0,93.0,0.0,0.0,0.0,5156,0,26451,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,93.0,0.0,760.0,90.0,0.0,753.0,85.0,0.0,764.0,93.0,,,,26,,André,Onana,Onana,has joined Trabzonspor on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
433,u,0.0,0.0,4.0,718,65.0,0,0.0,0,0.0,0.0,806,94.0,0,0,0.0,618.0,84.0,0,0,0.0,503.0,76.0,0.0,0.0,0.0,0,0,246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,84.0,0.0,601.0,72.0,0.0,569.0,58.0,0.0,611.0,84.0,,,,26,,Elyh,Harrison,Harrison,On loan to Shrewsbury Town,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
434,a,,,3.9,736,66.0,0,0.0,-1,1.0,0.3,341,46.0,0,0,0.0,534.0,35.0,0,0,0.0,411.0,26.0,0.0,0.0,0.0,15396,182,23806,356,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,35.0,0.0,513.0,19.0,0.0,478.0,5.0,0.0,527.0,35.0,,,,26,,Tom,Heaton,Heaton,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
436,d,25.0,0.0,4.9,307,48.0,0,0.0,-1,1.0,1.9,138,55.0,43,0,3.3,143.0,54.0,5,169,0.0,714.0,253.0,0.0,8.8,0.0,419523,98,544003,2041,0.1,0.0,1.38,0.83,2.21,18.73,0.11,0.06,0.17,1.44,276.6,191.0,80.0,60.2,315.0,105.0,122.0,211.0,54.0,45.7,244.0,82.0,,,,26,,Matthijs,de Ligt,De Ligt,Back injury - 25% chance of playing,,1170,1,0,1,20,0,0,0,0,0,0,13,139,,,,0.0,0.08,1.54,1.0,8.23,19,88,40
437,a,100.0,100.0,4.8,361,61.0,0,0.0,-2,2.0,1.0,191,71.0,39,2,2.8,224.0,89.0,3,165,2.2,173.0,64.0,0.5,8.1,0.0,166736,13572,72705,6622,2.7,2.7,0.06,0.5,0.56,9.34,0.01,0.05,0.06,0.93,220.2,233.0,91.0,78.3,281.0,90.0,10.0,398.0,145.0,31.0,317.0,107.0,,,,26,,Lisandro,Martínez,Martinez,,,904,0,0,3,11,1,0,0,0,0,0,9,75,,,,0.0,0.3,1.1,0.9,7.47,12,63,52
439,a,,,4.2,649,156.0,0,0.0,-3,3.0,0.1,569,204.0,0,0,0.0,639.0,247.0,0,0,0.0,536.0,228.0,0.0,0.0,0.0,3231,56,8445,96,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,248.0,0.0,625.0,247.0,0.0,598.0,246.0,0.0,633.0,248.0,,,,26,,Diego,León Blanco,D.Leon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
440,a,100.0,100.0,4.5,419,79.0,0,0.0,0,0.0,4.6,77,25.0,86,1,3.6,106.0,38.0,8,304,4.0,57.0,19.0,0.9,19.1,0.0,930211,34253,594657,27603,4.5,4.5,1.34,1.95,3.29,25.5,0.07,0.1,0.17,1.25,397.4,96.0,44.0,344.2,59.0,11.0,131.0,193.0,47.0,87.3,94.0,24.0,,,,26,,Diogo,Dalot Teixeira,Dalot,,,1840,1,6,5,30,0,0,0,4,0,0,21,144,,,,0.0,0.24,1.47,1.03,6.02,36,87,86
441,i,0.0,0.0,4.3,616,140.0,0,0.0,-2,2.0,4.3,83,28.0,74,0,3.4,126.0,46.0,8,261,2.0,190.0,71.0,0.5,17.2,0.0,1771362,1333,1979473,86795,0.0,0.0,1.86,1.42,3.28,18.78,0.13,0.1,0.23,1.27,402.4,93.0,42.0,354.1,56.0,10.0,262.0,85.0,7.0,101.9,58.0,10.0,,,,26,,Patrick,Dorgu,Dorgu,Hamstring injury - Unknown return date,,1329,3,3,3,20,0,0,0,5,0,0,14,117,,,,0.0,0.2,1.35,0.95,6.43,47,48,72
442,a,100.0,100.0,4.3,572,121.0,0,0.0,-2,2.0,1.7,146,58.0,52,2,4.0,62.0,25.0,3,161,3.2,94.0,34.0,0.7,12.1,0.0,258655,14311,156539,9680,3.7,3.7,0.73,0.06,0.79,11.32,0.09,0.01,0.1,1.33,172.6,269.0,108.0,20.6,387.0,138.0,93.0,241.0,66.0,28.8,325.0,113.0,,,,26,,Harry,Maguire,Maguire,,,768,1,1,4,9,0,0,0,1,0,0,9,74,,,,0.0,0.47,1.05,1.05,7.38,9,54,24
