id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained,snapshot_time,can_enter,can_manage,released,overrides,cup_leagues_created,h2h_ko_matches_created,deadline_time_game_offset,ranked_count,release_time
16,Gameweek 16,2025-12-13T13:30:00+00:00,60,True,True,3781937,1765632600,149,False,False,False,"[{'chip_name': 'bboost', 'num_played': 477343}, {'chip_name': 'freehit', 'num_played': 246031}, {'chip_name': 'wildcard', 'num_played': 97647}, {'chip_name': '3xc', 'num_played': 206393}]",430,414,516,"{'id': 516, 'points': 19}",24497356,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12544438,
17,Gameweek 17,2025-12-20T11:00:00+00:00,66,True,True,6887913,1766228400,148,False,False,False,"[{'chip_name': 'bboost', 'num_played': 378292}, {'chip_name': 'freehit', 'num_played': 243505}, {'chip_name': 'wildcard', 'num_played': 150531}, {'chip_name': '3xc', 'num_played': 989479}]",430,329,107,"{'id': 107, 'points': 21}",16356600,430,414,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12584041,
18,Gameweek 18,2025-12-26T18:30:00+00:00,44,True,True,3080196,1766773800,118,False,False,False,"[{'chip_name': 'bboost', 'num_played': 592927}, {'chip_name': 'freehit', 'num_played': 498912}, {'chip_name': 'wildcard', 'num_played': 219334}, {'chip_name': '3xc', 'num_played': 479352}]",430,661,120,"{'id': 120, 'points': 20}",16835174,430,414,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12620812,
1,Gameweek 1,2025-08-15T17:30:00+00:00,54,True,True,3772644,1755279000,127,False,False,False,"[{'chip_name': 'bboost', 'num_played': 342779}, {'chip_name': '3xc', 'num_played': 272642}]",235,1,531,"{'id': 531, 'points': 17}",0,381,235,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,9469118,
3,Gameweek 3,2025-08-30T10:00:00+00:00,48,True,True,4374360,1756548000,118,False,False,False,"[{'chip_name': 'bboost', 'num_played': 181694}, {'chip_name': 'freehit', 'num_played': 392607}, {'chip_name': 'wildcard', 'num_played': 714353}, {'chip_name': '3xc', 'num_played': 327492}]",249,82,260,"{'id': 260, 'points': 15}",27802596,430,381,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11304791,
4,Gameweek 4,2025-09-13T10:00:00+00:00,63,True,True,7997042,1757757600,139,False,False,False,"[{'chip_name': 'bboost', 'num_played': 151177}, {'chip_name': 'freehit', 'num_played': 245615}, {'chip_name': 'wildcard', 'num_played': 936058}, {'chip_name': '3xc', 'num_played': 265597}]",249,419,26,"{'id': 26, 'points': 16}",27408255,381,249,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11641518,
5,Gameweek 5,2025-09-20T10:00:00+00:00,42,True,True,9985225,1758362400,112,False,False,False,"[{'chip_name': 'bboost', 'num_played': 231274}, {'chip_name': 'freehit', 'num_played': 140350}, {'chip_name': 'wildcard', 'num_played': 465965}, {'chip_name': '3xc', 'num_played': 121906}]",249,82,660,"{'id': 660, 'points': 15}",16533109,381,249,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11803614,
6,Gameweek 6,2025-09-27T10:00:00+00:00,46,True,True,11887643,1758967200,124,False,False,False,"[{'chip_name': 'bboost', 'num_played': 157915}, {'chip_name': 'freehit', 'num_played': 178069}, {'chip_name': 'wildcard', 'num_played': 750713}, {'chip_name': '3xc', 'num_played': 812259}]",249,430,683,"{'id': 683, 'points': 17}",22147208,430,249,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11930431,
19,Gameweek 19,2025-12-30T18:00:00+00:00,40,True,True,6796894,1767117600,112,False,False,False,"[{'chip_name': 'bboost', 'num_played': 631090}, {'chip_name': 'freehit', 'num_played': 559609}, {'chip_name': 'wildcard', 'num_played': 226700}, {'chip_name': '3xc', 'num_played': 323388}]",430,450,303,"{'id': 303, 'points': 16}",15084299,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12646658,
22,Gameweek 22,2026-01-17T11:00:00+00:00,40,True,True,12542399,1768647600,111,False,False,False,"[{'chip_name': 'bboost', 'num_played': 239898}, {'chip_name': 'freehit', 'num_played': 76367}, {'chip_name': 'wildcard', 'num_played': 213369}, {'chip_name': '3xc', 'num_played': 125638}]",430,5,441,"{'id': 441, 'points': 15}",12244354,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12727093,
23,Gameweek 23,2026-01-24T11:00:00+00:00,44,True,True,943181,1769252400,115,False,False,False,"[{'chip_name': 'bboost', 'num_played': 158150}, {'chip_name': 'freehit', 'num_played': 54600}, {'chip_name': 'wildcard', 'num_played': 169261}, {'chip_name': '3xc', 'num_played': 352912}]",430,449,387,"{'id': 387, 'points': 13}",8986548,430,136,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12748731,
20,Gameweek 20,2026-01-03T11:00:00+00:00,42,True,True,7324049,1767438000,117,False,False,False,"[{'chip_name': 'bboost', 'num_played': 83247}, {'chip_name': 'freehit', 'num_played': 88528}, {'chip_name': 'wildcard', 'num_played': 245930}, {'chip_name': '3xc', 'num_played': 66719}]",430,5,136,"{'id': 136, 'points': 17}",10282852,430,661,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12668861,
21,Gameweek 21,2026-01-06T18:30:00+00:00,48,True,True,1967626,1767724200,118,False,False,False,"[{'chip_name': 'bboost', 'num_played': 119453}, {'chip_name': 'freehit', 'num_played': 88007}, {'chip_name': 'wildcard', 'num_played': 225660}, {'chip_name': '3xc', 'num_played': 98740}]",430,5,487,"{'id': 487, 'points': 15}",10609899,430,414,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12691406,
24,Gameweek 24,2026-01-31T13:30:00+00:00,55,True,True,2348034,1769866200,126,False,False,False,"[{'chip_name': 'bboost', 'num_played': 175008}, {'chip_name': 'freehit', 'num_played': 91022}, {'chip_name': 'wildcard', 'num_played': 364012}, {'chip_name': '3xc', 'num_played': 85449}]",430,449,18,"{'id': 18, 'points': 14}",14084799,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12773603,
25,Gameweek 25,2026-02-06T18:30:00+00:00,58,True,True,510899,1770402600,147,False,False,False,"[{'chip_name': 'bboost', 'num_played': 115138}, {'chip_name': 'freehit', 'num_played': 110640}, {'chip_name': 'wildcard', 'num_played': 248203}, {'chip_name': '3xc', 'num_played': 76563}]",430,249,235,"{'id': 235, 'points': 20}",10565045,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12799155,
26,Gameweek 26,2026-02-10T18:00:00+00:00,58,True,True,439887,1770746400,138,False,False,False,"[{'chip_name': 'bboost', 'num_played': 163842}, {'chip_name': 'freehit', 'num_played': 199177}, {'chip_name': 'wildcard', 'num_played': 170257}, {'chip_name': '3xc', 'num_played': 994106}]",430,666,373,"{'id': 373, 'points': 17}",10933870,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12819444,
27,Gameweek 27,2026-02-21T13:30:00+00:00,45,True,True,11253480,1771680600,117,False,False,False,"[{'chip_name': 'bboost', 'num_played': 163909}, {'chip_name': 'freehit', 'num_played': 65500}, {'chip_name': 'wildcard', 'num_played': 149091}, {'chip_name': '3xc', 'num_played': 131436}]",430,249,411,"{'id': 411, 'points': 17}",8668376,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12846334,
28,Gameweek 28,2026-02-27T18:30:00+00:00,53,True,True,9830298,1772217000,125,False,False,False,"[{'chip_name': 'bboost', 'num_played': 109631}, {'chip_name': 'freehit', 'num_played': 65809}, {'chip_name': 'wildcard', 'num_played': 125813}, {'chip_name': '3xc', 'num_played': 89274}]",430,373,121,"{'id': 121, 'points': 18}",8235195,430,449,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12862786,
29,Gameweek 29,2026-03-03T18:00:00+00:00,54,True,True,4150549,1772560800,143,False,False,False,"[{'chip_name': 'bboost', 'num_played': 89335}, {'chip_name': 'freehit', 'num_played': 80722}, {'chip_name': 'wildcard', 'num_played': 127012}, {'chip_name': '3xc', 'num_played': 72195}]",430,661,249,"{'id': 249, 'points': 19}",8012299,430,82,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12878906,
30,Gameweek 30,2026-03-14T13:30:00+00:00,43,True,True,11679396,1773495000,110,False,False,False,"[{'chip_name': 'bboost', 'num_played': 167927}, {'chip_name': 'freehit', 'num_played': 46577}, {'chip_name': 'wildcard', 'num_played': 96617}, {'chip_name': '3xc', 'num_played': 122850}]",430,249,55,"{'id': 55, 'points': 12}",7392015,430,82,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12901883,
31,Gameweek 31,2026-03-20T18:30:00+00:00,38,True,True,8715367,1774031400,109,False,False,False,"[{'chip_name': 'bboost', 'num_played': 18824}, {'chip_name': 'freehit', 'num_played': 1344160}, {'chip_name': 'wildcard', 'num_played': 161246}, {'chip_name': '3xc', 'num_played': 34112}]",249,684,311,"{'id': 311, 'points': 16}",19361841,430,249,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12914049,
32,Gameweek 32,2026-04-10T17:30:00+00:00,46,True,True,13046216,1775842200,132,False,False,False,"[{'chip_name': 'bboost', 'num_played': 103325}, {'chip_name': 'freehit', 'num_played': 36950}, {'chip_name': 'wildcard', 'num_played': 499288}, {'chip_name': '3xc', 'num_played': 98570}]",430,151,606,"{'id': 606, 'points': 21}",11209415,430,430,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12939182,
33,Gameweek 33,2026-04-18T10:00:00+00:00,66,True,True,7284485,1776506400,177,False,False,False,"[{'chip_name': 'bboost', 'num_played': 823047}, {'chip_name': 'freehit', 'num_played': 644259}, {'chip_name': 'wildcard', 'num_played': 219253}, {'chip_name': '3xc', 'num_played': 693021}]",430,691,515,"{'id': 515, 'points': 20}",16755835,430,82,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12949113,
34,Gameweek 34,2026-04-24T17:30:00+00:00,36,True,True,867817,1777051800,114,False,False,False,"[{'chip_name': 'bboost', 'num_played': 22830}, {'chip_name': 'freehit', 'num_played': 1091511}, {'chip_name': 'wildcard', 'num_played': 415076}, {'chip_name': '3xc', 'num_played': 54817}]",430,64,526,"{'id': 526, 'points': 14}",24247093,430,449,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12958359,
35,Gameweek 35,2026-05-01T17:30:00+00:00,50,True,True,2670562,1777656600,129,False,False,False,"[{'chip_name': 'bboost', 'num_played': 270253}, {'chip_name': 'freehit', 'num_played': 33834}, {'chip_name': 'wildcard', 'num_played': 310380}, {'chip_name': '3xc', 'num_played': 87066}]",430,417,527,"{'id': 527, 'points': 16}",8319244,430,449,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12967903,
36,Gameweek 36,2026-05-09T10:00:00+00:00,65,True,True,436924,1778320800,145,False,False,False,"[{'chip_name': 'bboost', 'num_played': 464000}, {'chip_name': 'freehit', 'num_played': 89202}, {'chip_name': 'wildcard', 'num_played': 161296}, {'chip_name': '3xc', 'num_played': 1399208}]",430,417,145,"{'id': 145, 'points': 15}",9092077,430,449,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12976450,
37,Gameweek 37,2026-05-15T17:30:00+00:00,53,True,True,7322572,1778866200,131,True,False,False,"[{'chip_name': 'bboost', 'num_played': 492567}, {'chip_name': 'freehit', 'num_played': 66527}, {'chip_name': 'wildcard', 'num_played': 160456}, {'chip_name': '3xc', 'num_played': 259427}]",430,666,64,"{'id': 64, 'points': 15}",6365648,430,449,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12983775,
38,Gameweek 38,2026-05-24T13:30:00+00:00,41,True,True,1457502,1779629400,117,False,True,False,"[{'chip_name': 'bboost', 'num_played': 745070}, {'chip_name': 'freehit', 'num_played': 120948}, {'chip_name': 'wildcard', 'num_played': 204166}, {'chip_name': '3xc', 'num_played': 330298}]",430,624,441,"{'id': 441, 'points': 18}",8603009,430,449,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12991567,
