id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
69,a,,,3.9,762,89.0,0,0.0,-1,1.0,0.2,348,50.0,0,0,0.0,544.0,58.0,0,0,0.0,459.0,53.0,0.0,0.0,0.0,16819,485,15724,383,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,58.0,0.0,527.0,45.0,0.0,490.0,30.0,0.0,537.0,58.0,,,,22,,Callan,McKenna,McKenna,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
70,u,0.0,0.0,4.0,681,57.0,0,0.0,0,0.0,0.1,553,78.0,0,0,0.0,578.0,75.0,0,0,0.0,493.0,70.0,0.0,0.0,0.0,1107,0,10138,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,75.0,0.0,562.0,64.0,0.0,527.0,49.0,0.0,570.0,75.0,,,,22,,Alex,Paulsen,Paulsen,Has joined Lechia Gdansk on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
71,u,0.0,0.0,5.0,261,42.0,0,0.0,0,0.0,0.0,657,228.0,0,0,0.0,764.0,258.0,0,0,0.0,731.0,254.0,0.0,0.0,0.0,0,0,8163,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,258.0,0.0,762.0,258.0,0.0,755.0,257.0,0.0,764.0,258.0,,,,22,,Illia,Zabarnyi,Zabarnyi,Has joined Paris Saint-Germain permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
72,a,100.0,100.0,4.8,358,61.0,0,0.0,3,-3.0,13.8,25,8.0,91,3,4.3,51.0,23.0,6,290,3.0,132.0,52.0,0.6,19.0,0.0,4168848,25665,2746363,49943,2.5,3.0,0.56,3.55,4.11,30.46,0.03,0.17,0.2,1.48,708.2,2.0,1.0,274.1,76.0,17.0,103.0,205.0,51.0,108.6,34.0,1.0,,,,22,,Marcos,Senesi Barón,Senesi,,,1848,0,4,5,40,0,0,0,7,0,0,21,311,,,,0.0,0.24,1.95,1.02,13.05,38,230,90
73,a,100.0,100.0,4.4,510,98.0,0,0.0,-1,1.0,0.2,383,139.0,20,0,1.8,339.0,132.0,0,45,0.2,362.0,139.0,0.0,4.5,0.0,22813,182,38891,345,-0.3,0.2,0.0,0.11,0.11,10.23,0.0,0.02,0.02,1.7,56.6,375.0,143.0,28.4,352.0,125.0,18.0,360.0,125.0,10.3,389.0,139.0,,,,22,,Adam,Smith,Smith,,,541,0,1,2,13,0,0,0,2,0,0,8,31,,,,0.0,0.33,2.16,1.33,4.66,4,24,11
343,a,100.0,100.0,4.3,573,129.0,0,0.0,-2,2.0,0.4,261,99.0,64,6,3.2,150.0,61.0,3,220,5.2,19.0,7.0,1.2,14.9,0.0,66250,4950,63082,3565,5.2,5.2,2.21,0.43,2.64,26.07,0.12,0.02,0.14,1.37,411.6,55.0,26.0,104.6,209.0,56.0,174.0,111.0,17.0,69.0,107.0,34.0,,,3.0,22,,Pascal,Struijk,Struijk,,,1718,0,1,4,31,0,0,0,3,0,0,19,188,,,,0.0,0.21,1.62,1.0,8.85,20,149,75
344,i,0.0,100.0,3.9,739,214.0,0,0.0,-1,1.0,0.5,244,92.0,43,0,3.6,111.0,42.0,2,150,3.2,110.0,39.0,0.8,11.0,0.0,98132,392,55337,13216,0.0,3.2,0.48,0.5,0.98,16.9,0.04,0.05,0.09,1.55,268.4,161.0,69.0,37.7,335.0,114.0,129.0,158.0,30.0,43.5,214.0,72.0,,,,22,,Jaka,Bijol,Bijol,Hamstring injury - Expected back 10 Feb,,982,1,2,1,18,0,0,0,1,0,0,11,111,,,,0.0,0.09,1.65,1.01,9.16,14,86,38
74,a,,,4.5,443,91.0,0,0.0,0,0.0,1.7,141,56.0,71,4,3.2,153.0,63.0,7,265,2.0,203.0,76.0,0.4,15.8,0.0,480292,1743,367178,8794,1.5,2.0,0.33,1.19,1.52,30.11,0.02,0.06,0.08,1.4,457.0,40.0,18.0,318.8,52.0,8.0,85.0,226.0,59.0,86.0,64.0,11.0,,,,22,,Adrien,Truffert,Truffert,,,1938,0,1,5,38,0,0,0,3,0,0,22,228,,,,0.0,0.23,1.76,1.02,8.27,63,115,108
75,d,25.0,25.0,3.8,791,252.0,0,0.0,-2,2.0,0.2,370,135.0,0,0,0.0,505.0,185.0,0,0,0.0,418.0,161.0,0.0,0.0,0.0,13697,80,30874,245,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,185.0,0.0,486.0,185.0,0.0,447.0,174.0,0.0,498.0,185.0,,,,22,,Matai,Akinmboni,Akinmboni,Muscle injury - 25% chance of playing,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
669,a,100.0,100.0,5.5,149,95.0,0,0.0,-5,5.0,0.7,215,73.0,42,1,2.6,245.0,107.0,4,144,0.2,395.0,182.0,0.0,7.6,0.0,542834,269,569275,546,0.2,-0.8,0.78,1.22,2.0,14.08,0.07,0.11,0.18,1.25,144.6,264.0,116.0,153.0,156.0,106.0,136.0,148.0,87.0,43.5,216.0,108.0,,,,22,,Dan,Ndoye,Ndoye,,,1011,1,2,2,16,0,0,0,1,0,0,14,82,,,,0.0,0.18,1.42,1.25,7.3,18,20,44
